Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Description
Library,,,,,,libpam-runtime,1.5.3-5ubuntu5.1,,BSD-3-Clause AND LicenseRef-BSD-tcp-wrappers AND Beerware AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:libpam-runtime:libpam-runtime:1.5.3-5ubuntu5.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libpam-runtime@1.5.3-5ubuntu5.1?arch=all&distro=ubuntu-24.04&upstream=pam,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libpam0g,1.5.3-5ubuntu5.1,,BSD-3-Clause AND LicenseRef-BSD-tcp-wrappers AND Beerware AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:libpam0g:libpam0g:1.5.3-5ubuntu5.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libpam0g@1.5.3-5ubuntu5.1?arch=amd64&distro=ubuntu-24.04&upstream=pam,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libpcre2-8-0,10.42-4ubuntu2.1,,BSD-2-Clause AND BSD-3-Clause AND LicenseRef-BSD-3-clause-Cambridge AND X11 AND LicenseRef-public-domain,,,cpe:2.3:a:libpcre2-8-0:libpcre2-8-0:10.42-4ubuntu2.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libpcre2-8-0@10.42-4ubuntu2.1?arch=amd64&distro=ubuntu-24.04&upstream=pcre2,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libproc2-0,2:4.0.4-4ubuntu3.2,,GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later,,,cpe:2.3:a:libproc2-0:libproc2-0:2\:4.0.4-4ubuntu3.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libproc2-0@2%3A4.0.4-4ubuntu3.2?arch=amd64&distro=ubuntu-24.04&upstream=procps,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libseccomp2,2.5.5-1ubuntu3.1,,LGPL-2.1-only,,,cpe:2.3:a:libseccomp2:libseccomp2:2.5.5-1ubuntu3.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libseccomp2@2.5.5-1ubuntu3.1?arch=amd64&distro=ubuntu-24.04&upstream=libseccomp,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libselinux1,3.5-2ubuntu2.1,,GPL-2.0-only AND LicenseRef-public-domain,,,cpe:2.3:a:libselinux1:libselinux1:3.5-2ubuntu2.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libselinux1@3.5-2ubuntu2.1?arch=amd64&distro=ubuntu-24.04&upstream=libselinux,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libsemanage-common,3.5-1build5,,GPL-2.0-only AND LGPL-2.1-only AND LGPL-2.1-or-later,,,cpe:2.3:a:libsemanage-common:libsemanage-common:3.5-1build5:*:*:*:*:*:*:*,pkg:deb/ubuntu/libsemanage-common@3.5-1build5?arch=all&distro=ubuntu-24.04&upstream=libsemanage,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libsemanage2,3.5-1build5,,GPL-2.0-only AND LGPL-2.1-only AND LGPL-2.1-or-later,,,cpe:2.3:a:libsemanage2:libsemanage2:3.5-1build5:*:*:*:*:*:*:*,pkg:deb/ubuntu/libsemanage2@3.5-1build5?arch=amd64&distro=ubuntu-24.04&upstream=libsemanage,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libsepol2,3.5-2build1,,GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND Zlib,,,cpe:2.3:a:libsepol2:libsepol2:3.5-2build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libsepol2@3.5-2build1?arch=amd64&distro=ubuntu-24.04&upstream=libsepol,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libsmartcols1,2.39.3-9ubuntu6.2,,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain,,,cpe:2.3:a:libsmartcols1:libsmartcols1:2.39.3-9ubuntu6.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libsmartcols1@2.39.3-9ubuntu6.2?arch=amd64&distro=ubuntu-24.04&upstream=util-linux,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libss2,1.47.0-2.4~exp1ubuntu4.1,,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e,,,cpe:2.3:a:libss2:libss2:1.47.0-2.4\~exp1ubuntu4.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libss2@1.47.0-2.4~exp1ubuntu4.1?arch=amd64&distro=ubuntu-24.04&upstream=e2fsprogs,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libssl3t64,3.0.13-0ubuntu3.5,,Apache-2.0 AND LicenseRef-Artistic AND GPL-1.0-only AND GPL-1.0-or-later,,,cpe:2.3:a:libssl3t64:libssl3t64:3.0.13-0ubuntu3.5:*:*:*:*:*:*:*,pkg:deb/ubuntu/libssl3t64@3.0.13-0ubuntu3.5?arch=amd64&distro=ubuntu-24.04&upstream=openssl,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libstdc++6,14.2.0-4ubuntu2~24.04,,,Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL,,cpe:2.3:a:libstdc\+\+6:libstdc\+\+6:14.2.0-4ubuntu2\~24.04:*:*:*:*:*:*:*,pkg:deb/ubuntu/libstdc%2B%2B6@14.2.0-4ubuntu2~24.04?arch=amd64&distro=ubuntu-24.04&upstream=gcc-14,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libsystemd0,255.4-1ubuntu8.6,,CC0-1.0 AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:libsystemd0:libsystemd0:255.4-1ubuntu8.6:*:*:*:*:*:*:*,pkg:deb/ubuntu/libsystemd0@255.4-1ubuntu8.6?arch=amd64&distro=ubuntu-24.04&upstream=systemd,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libtasn1-6,4.19.0-3ubuntu0.24.04.1,,GFDL-1.3-only AND GPL-3.0-only AND LicenseRef-LGPL AND LGPL-2.1-only,,,cpe:2.3:a:libtasn1-6:libtasn1-6:4.19.0-3ubuntu0.24.04.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libtasn1-6@4.19.0-3ubuntu0.24.04.1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libtinfo6,6.4+20240113-1ubuntu2,,BSD-3-Clause AND LicenseRef-MIT-X11 AND X11,,,cpe:2.3:a:libtinfo6:libtinfo6:6.4\+20240113-1ubuntu2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libtinfo6@6.4%2B20240113-1ubuntu2?arch=amd64&distro=ubuntu-24.04&upstream=ncurses,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libudev1,255.4-1ubuntu8.6,,CC0-1.0 AND LicenseRef-Expat AND GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:libudev1:libudev1:255.4-1ubuntu8.6:*:*:*:*:*:*:*,pkg:deb/ubuntu/libudev1@255.4-1ubuntu8.6?arch=amd64&distro=ubuntu-24.04&upstream=systemd,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libunistring5,1.1-2build1.1,,,FreeSoftware AND GFDL-1.2-only AND LicenseRef-GFDL-NIV-1.2- AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND X11,,cpe:2.3:a:libunistring5:libunistring5:1.1-2build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libunistring5@1.1-2build1.1?arch=amd64&distro=ubuntu-24.04&upstream=libunistring,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libuuid1,2.39.3-9ubuntu6.2,,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain,,,cpe:2.3:a:libuuid1:libuuid1:2.39.3-9ubuntu6.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/libuuid1@2.39.3-9ubuntu6.2?arch=amd64&distro=ubuntu-24.04&upstream=util-linux,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libxxhash0,0.8.2-2build1,,BSD-2-Clause AND GPL-2.0-only AND GPL-2.0-or-later,,,cpe:2.3:a:libxxhash0:libxxhash0:0.8.2-2build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libxxhash0@0.8.2-2build1?arch=amd64&distro=ubuntu-24.04&upstream=xxhash,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,libzstd1,1.5.5+dfsg2-2build1.1,,BSD-3-Clause AND LicenseRef-Expat AND GPL-2.0-only AND Zlib,,,cpe:2.3:a:libzstd1:libzstd1:1.5.5\+dfsg2-2build1.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/libzstd1@1.5.5%2Bdfsg2-2build1.1?arch=amd64&distro=ubuntu-24.04&upstream=libzstd,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,login,1:4.13+dfsg1-4ubuntu3.2,,BSD-3-Clause AND GPL-1.0-only AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:login:login:1\:4.13\+dfsg1-4ubuntu3.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/login@1%3A4.13%2Bdfsg1-4ubuntu3.2?arch=amd64&distro=ubuntu-24.04&upstream=shadow,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,logsave,1.47.0-2.4~exp1ubuntu4.1,,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e,,,cpe:2.3:a:logsave:logsave:1.47.0-2.4\~exp1ubuntu4.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/logsave@1.47.0-2.4~exp1ubuntu4.1?arch=amd64&distro=ubuntu-24.04&upstream=e2fsprogs,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,mawk,1.3.4.20240123-1build1,,CC-BY-3.0 AND GPL-2.0-only AND GPL-2.0-only AND X11,,,cpe:2.3:a:mawk:mawk:1.3.4.20240123-1build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/mawk@1.3.4.20240123-1build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,mount,2.39.3-9ubuntu6.2,,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain,,,cpe:2.3:a:mount:mount:2.39.3-9ubuntu6.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/mount@2.39.3-9ubuntu6.2?arch=amd64&distro=ubuntu-24.04&upstream=util-linux,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,ncurses-base,6.4+20240113-1ubuntu2,,BSD-3-Clause AND LicenseRef-MIT-X11 AND X11,,,cpe:2.3:a:ncurses-base:ncurses-base:6.4\+20240113-1ubuntu2:*:*:*:*:*:*:*,pkg:deb/ubuntu/ncurses-base@6.4%2B20240113-1ubuntu2?arch=all&distro=ubuntu-24.04&upstream=ncurses,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,ncurses-bin,6.4+20240113-1ubuntu2,,BSD-3-Clause AND LicenseRef-MIT-X11 AND X11,,,cpe:2.3:a:ncurses-bin:ncurses-bin:6.4\+20240113-1ubuntu2:*:*:*:*:*:*:*,pkg:deb/ubuntu/ncurses-bin@6.4%2B20240113-1ubuntu2?arch=amd64&distro=ubuntu-24.04&upstream=ncurses,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,passwd,1:4.13+dfsg1-4ubuntu3.2,,BSD-3-Clause AND GPL-1.0-only AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain,,,cpe:2.3:a:passwd:passwd:1\:4.13\+dfsg1-4ubuntu3.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/passwd@1%3A4.13%2Bdfsg1-4ubuntu3.2?arch=amd64&distro=ubuntu-24.04&upstream=shadow,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,perl-base,5.38.2-3.2build2.1,,,Artistic AND Artistic-2.0 AND LicenseRef-Artistic-dist AND BSD-3-Clause AND LicenseRef-BSD-3-clause-GENERIC AND LicenseRef-BSD-3-clause-with-weird-numbering AND LicenseRef-BSD-4-clause-POWERDOG AND LicenseRef-BZIP AND LicenseRef-DONT-CHANGE-THE-GPL AND LicenseRef-Expat AND FSFAP AND GPL-1.0-only AND GPL-1.0-or-later AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-GPL-3--WITH-BISON-EXCEPTION AND LGPL-2.1-only AND LicenseRef-REGCOMP AND LicenseRef-REGCOMP- AND LicenseRef-SDBM-PUBLIC-DOMAIN AND LicenseRef-TEXT-TABS AND LicenseRef-Unicode AND Zlib,,cpe:2.3:a:perl-base:perl-base:5.38.2-3.2build2.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/perl-base@5.38.2-3.2build2.1?arch=amd64&distro=ubuntu-24.04&upstream=perl,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,procps,2:4.0.4-4ubuntu3.2,,GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later,,,cpe:2.3:a:procps:procps:2\:4.0.4-4ubuntu3.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/procps@2%3A4.0.4-4ubuntu3.2?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,sed,4.9-2build1,,BSD-4-Clause-UC AND BSL-1.0 AND GFDL-1.3-only AND LicenseRef-GFDL-NIV-1.3- AND GPL-3.0-only AND GPL-3.0-or-later AND ISC AND X11 AND LicenseRef-pcre,,,cpe:2.3:a:sed:sed:4.9-2build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/sed@4.9-2build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,sensible-utils,0.0.22,,,All-permissive AND BSD-2-Clause AND GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-configure AND LicenseRef-installsh,,cpe:2.3:a:sensible-utils:sensible-utils:0.0.22:*:*:*:*:*:*:*,pkg:deb/ubuntu/sensible-utils@0.0.22?arch=all&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,sysvinit-utils,3.08-6ubuntu3,,GPL-2.0-only AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-only AND LGPL-2.1-only AND LGPL-2.1-or-later,,,cpe:2.3:a:sysvinit-utils:sysvinit-utils:3.08-6ubuntu3:*:*:*:*:*:*:*,pkg:deb/ubuntu/sysvinit-utils@3.08-6ubuntu3?arch=amd64&distro=ubuntu-24.04&upstream=sysvinit,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,tar,1.35+dfsg-3build1,,GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later,,,cpe:2.3:a:tar:tar:1.35\+dfsg-3build1:*:*:*:*:*:*:*,pkg:deb/ubuntu/tar@1.35%2Bdfsg-3build1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,Dimitri John Ledkov (dimitri.ledkov@canonical.com),,ubuntu-keyring,2023.11.28.1,,,GPL,,cpe:2.3:a:ubuntu-keyring:ubuntu-keyring:2023.11.28.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/ubuntu-keyring@2023.11.28.1?arch=all&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,Utkarsh Gupta (utkarsh@ubuntu.com),,unminimize,0.2.1,,GPL-2.0-only AND GPL-2.0-or-later,,,cpe:2.3:a:unminimize:unminimize:0.2.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/unminimize@0.2.1?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,util-linux,2.39.3-9ubuntu6.2,,BSD-3-Clause AND BSD-4-Clause AND LicenseRef-BSLA AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LicenseRef-LGPL AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LGPL-3.0-only AND LGPL-3.0-or-later AND MIT AND LicenseRef-public-domain,,,cpe:2.3:a:util-linux:util-linux:2.39.3-9ubuntu6.2:*:*:*:*:*:*:*,pkg:deb/ubuntu/util-linux@2.39.3-9ubuntu6.2?arch=amd64&distro=ubuntu-24.04,,,,,,,,,,,,,,,,,,,,,,,
Library,,,,,,zlib1g,1:1.3.dfsg-3.1ubuntu2.1,,Zlib,,,cpe:2.3:a:zlib1g:zlib1g:1\:1.3.dfsg-3.1ubuntu2.1:*:*:*:*:*:*:*,pkg:deb/ubuntu/zlib1g@1%3A1.3.dfsg-3.1ubuntu2.1?arch=amd64&distro=ubuntu-24.04&upstream=zlib,,,,,,,,,,,,,,,,,,,,,,,
Operating_System,,,,,,ubuntu,24.04,,,,,,,,ubuntu,ubuntu,24.04,0,False,,,,,,,,,,,,,,,,,ubuntu
